razao_social_osc,nome_fantasia_osc,natureza_juridica,ano_inicio,classe_atividade_economica,subclasse_atividade_economica,bairro,area_atuacao,subarea_atuacao
ASSOCIACAO DE VOLUNTARIAS H.G.A. TULIPAS,NÃO INFORMADO,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,boqueirao,desenvolvimento e defesa de direitos,outros
IGREJA MUNDIAL DO PODER DE DEUS,NÃO INFORMADO,Organização Religiosa,2014,NÃO INFORMADO,NÃO INFORMADO,sao manoel,religião,religião
IGREJA MUNDIAL DO PODER DE DEUS,NÃO INFORMADO,Organização Religiosa,2010,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,boqueirao,religião,religião
FRATERNIDADE DE CARITAS - NUCLEO ESPIRITUAL DEUS CONDUZ,FRATERNIDADE DE CARITAS,Associação Privada,1998,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,macuco,religião,religião
GRUPO BIRUTA DE ARTES CENICAS,BIRUTA,Associação Privada,1996,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila belmiro,desenvolvimento e defesa de direitos,outros
LOJA MACONICA AQUARIUS N.O 2721,NÃO INFORMADO,Associação Privada,1997,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila mathias,desenvolvimento e defesa de direitos; religião,religião
IRMANDADE ESPIRITA PAULO DE TARSO,NÃO INFORMADO,Associação Privada,1997,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,vila mathias,religião,religião
IGREJA EVANGELICA PROJETO DE DEUS,NÃO INFORMADO,Associação Privada,1998,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,vila belmiro,religião,religião
ASSOCIACAO DOS AMIGOS DA BAIXADA SANTISTA,NÃO INFORMADO,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ponta da praia,desenvolvimento e defesa de direitos,outros
COMUNIDADE CATOLICA SAGRADA FAMILIA,NÃO INFORMADO,Organização Religiosa,2009,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,embare,religião,religião
PRESBITERIO DE SANTOS,PRESBITERIO DE SANTOS DA IGREJA PRESBITERIANA DO BRASIL,Associação Privada,1997,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,campo grande,religião,religião
GREMIO RECREATIVO BENEFICENTE BRASILEIRO DE SANTOS,NÃO INFORMADO,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,gonzaga,desenvolvimento e defesa de direitos,outros
ASSOCIACAO FILANTROPICA BANDEIRANTE,SOCIEDADE FILANTROPICA BANDEIRANTE,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila nova,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DOS PROFISSIONAIS DE RECURSOS HUMANOS DO LITORAL PAULISTA,NÃO INFORMADO,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,aparecida,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DOS PERUEIROS FUNDADORES DE AUTO-LOTACAO DE SANTOS,A. P. F. A. L. S.,Associação Privada,1998,NÃO INFORMADO,NÃO INFORMADO,morro nova cintra,desenvolvimento e defesa de direitos,outros
CENTRO ESPIRITA CHICO XAVIER,NÃO INFORMADO,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,marape,religião,religião
ASSOCIACAO BRASILEIRA DE TRIATLO,ABTRI,Associação Privada,1995,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,gonzaga,cultura e recreação,esporte e recreação
ASSOCIACAO DOS EMPREGADOS DA PRODESAN-PROGRESSO E DESENVOLVI,ASSEMPRODESAN,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,gonzaga,desenvolvimento e defesa de direitos,outros
IGREJA COMUNIDADE DE VIDA CRISTA DE SANTOS,NÃO INFORMADO,Associação Privada,1996,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,areia branca,religião,religião
ASSOCIACAO DE EX-ALUNOS DO CENTRO UNIVERSITARIO MONTE SERRAT - EXAMS,NÃO INFORMADO,Associação Privada,1998,NÃO INFORMADO,NÃO INFORMADO,vila matias,desenvolvimento e defesa de direitos,outros
SOCIEDADE DE MELHORAMENTOS DO BAIRRO DO MACUCO,NÃO INFORMADO,Associação Privada,1995,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,macuco,desenvolvimento e defesa de direitos,outros
HEPTADA MARTINISTA SANTOS - TOM,HEPTADA SANTOS,Associação Privada,1999,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila matias,desenvolvimento e defesa de direitos,outros
